"","x"
"1",2196
"2",2196
"3",2196
"4",2196
"5",2196
"6",2196
"7",2196
"8",2196
"9",2196
"10",2196
"11",2196
"12",2196
"13",2196
"14",2196
"15",2196
"16",2196
"17",2196
"18",2196
"19",2196
"20",2196
"21",2196
"22",2196
"23",2196
"24",2196
"25",2196
"26",2196
"27",2196
"28",2196
"29",2196
"30",2196
"31",2196
"32",2196
"33",2196
"34",2196
"35",2196
"36",2196
"37",2196
"38",2196
"39",2196
"40",2196
"41",2196
"42",2196
"43",2196
"44",2196
"45",2196
"46",2196
"47",2196
"48",2196
"49",2196
"50",2196
"51",2197
"52",2197
"53",2197
"54",2197
"55",2197
"56",2197
"57",2197
"58",2197
"59",2197
"60",2197
"61",2197
"62",2197
"63",2197
"64",2197
"65",2197
"66",2197
"67",2197
"68",2197
"69",2197
"70",2197
"71",2197
"72",2197
"73",2197
"74",2197
"75",2197
"76",2197
"77",2197
"78",2197
"79",2197
"80",2197
"81",2197
"82",2197
"83",2197
"84",2197
"85",2197
"86",2197
"87",2197
"88",2197
"89",2197
"90",2197
"91",2197
"92",2197
"93",2197
"94",2197
"95",2197
"96",2197
"97",2197
"98",2197
"99",2197
"100",2197
"101",2198
"102",2198
"103",2198
"104",2198
"105",2198
"106",2198
"107",2198
"108",2198
"109",2198
"110",2198
"111",2198
"112",2198
"113",2198
"114",2198
"115",2198
"116",2198
"117",2198
"118",2198
"119",2198
"120",2198
"121",2198
"122",2198
"123",2198
"124",2198
"125",2198
"126",2198
"127",2198
"128",2198
"129",2198
"130",2198
"131",2198
"132",2198
"133",2198
"134",2198
"135",2198
"136",2198
"137",2198
"138",2198
"139",2198
"140",2198
"141",2198
"142",2198
"143",2198
"144",2198
"145",2198
"146",2198
"147",2198
"148",2198
"149",2198
"150",2198
"151",2199
"152",2199
"153",2199
"154",2199
"155",2199
"156",2199
"157",2199
"158",2199
"159",2199
"160",2199
"161",2199
"162",2199
"163",2199
"164",2199
"165",2199
"166",2199
"167",2199
"168",2199
"169",2199
"170",2199
"171",2199
"172",2199
"173",2199
"174",2199
"175",2199
"176",2199
"177",2199
"178",2199
"179",2199
"180",2199
"181",2199
"182",2199
"183",2199
"184",2199
"185",2199
"186",2199
"187",2199
"188",2199
"189",2199
"190",2199
"191",2199
"192",2199
"193",2199
"194",2199
"195",2199
"196",2199
"197",2199
"198",2199
"199",2199
"200",2199
"201",2202
"202",2202
"203",2202
"204",2202
"205",2202
"206",2202
"207",2202
"208",2202
"209",2202
"210",2202
"211",2202
"212",2202
"213",2202
"214",2202
"215",2202
"216",2202
"217",2202
"218",2202
"219",2202
"220",2202
"221",2202
"222",2202
"223",2202
"224",2202
"225",2202
"226",2202
"227",2202
"228",2202
"229",2202
"230",2202
"231",2202
"232",2202
"233",2202
"234",2202
"235",2202
"236",2202
"237",2202
"238",2202
"239",2202
"240",2202
"241",2202
"242",2202
"243",2202
"244",2202
"245",2202
"246",2202
"247",2202
"248",2202
"249",2202
"250",2202
"251",2203
"252",2203
"253",2203
"254",2203
"255",2203
"256",2203
"257",2203
"258",2203
"259",2203
"260",2203
"261",2203
"262",2203
"263",2203
"264",2203
"265",2203
"266",2203
"267",2203
"268",2203
"269",2203
"270",2203
"271",2203
"272",2203
"273",2203
"274",2203
"275",2203
"276",2203
"277",2203
"278",2203
"279",2203
"280",2203
"281",2203
"282",2203
"283",2203
"284",2203
"285",2203
"286",2203
"287",2203
"288",2203
"289",2203
"290",2203
"291",2203
"292",2203
"293",2203
"294",2203
"295",2203
"296",2203
"297",2203
"298",2203
"299",2203
"300",2203
"301",2204
"302",2204
"303",2204
"304",2204
"305",2204
"306",2204
"307",2204
"308",2204
"309",2204
"310",2204
"311",2204
"312",2204
"313",2204
"314",2204
"315",2204
"316",2204
"317",2204
"318",2204
"319",2204
"320",2204
"321",2204
"322",2204
"323",2204
"324",2204
"325",2204
"326",2204
"327",2204
"328",2204
"329",2204
"330",2204
"331",2204
"332",2204
"333",2204
"334",2204
"335",2204
"336",2204
"337",2204
"338",2204
"339",2204
"340",2204
"341",2204
"342",2204
"343",2204
"344",2204
"345",2204
"346",2204
"347",2204
"348",2204
"349",2204
"350",2204
"351",2205
"352",2205
"353",2205
"354",2205
"355",2205
"356",2205
"357",2205
"358",2205
"359",2205
"360",2205
"361",2205
"362",2205
"363",2205
"364",2205
"365",2205
"366",2205
"367",2205
"368",2205
"369",2205
"370",2205
"371",2205
"372",2205
"373",2205
"374",2205
"375",2205
"376",2205
"377",2205
"378",2205
"379",2205
"380",2205
"381",2205
"382",2205
"383",2205
"384",2205
"385",2205
"386",2205
"387",2205
"388",2205
"389",2205
"390",2205
"391",2205
"392",2205
"393",2205
"394",2205
"395",2205
"396",2205
"397",2205
"398",2205
"399",2205
"400",2205
"401",2208
"402",2208
"403",2208
"404",2208
"405",2208
"406",2208
"407",2208
"408",2208
"409",2208
"410",2208
"411",2208
"412",2208
"413",2208
"414",2208
"415",2208
"416",2208
"417",2208
"418",2208
"419",2208
"420",2208
"421",2208
"422",2208
"423",2208
"424",2208
"425",2208
"426",2208
"427",2208
"428",2208
"429",2208
"430",2208
"431",2208
"432",2208
"433",2208
"434",2208
"435",2208
"436",2208
"437",2208
"438",2208
"439",2208
"440",2208
"441",2208
"442",2208
"443",2208
"444",2208
"445",2208
"446",2208
"447",2208
"448",2208
"449",2208
"450",2208
"451",2209
"452",2209
"453",2209
"454",2209
"455",2209
"456",2209
"457",2209
"458",2209
"459",2209
"460",2209
"461",2209
"462",2209
"463",2209
"464",2209
"465",2209
"466",2209
"467",2209
"468",2209
"469",2209
"470",2209
"471",2209
"472",2209
"473",2209
"474",2209
"475",2209
"476",2209
"477",2209
"478",2209
"479",2209
"480",2209
"481",2209
"482",2209
"483",2209
"484",2209
"485",2209
"486",2209
"487",2209
"488",2209
"489",2209
"490",2209
"491",2209
"492",2209
"493",2209
"494",2209
"495",2209
"496",2209
"497",2209
"498",2209
"499",2209
"500",2209
"501",2210
"502",2210
"503",2210
"504",2210
"505",2210
"506",2210
"507",2210
"508",2210
"509",2210
"510",2210
"511",2210
"512",2210
"513",2210
"514",2210
"515",2210
"516",2210
"517",2210
"518",2210
"519",2210
"520",2210
"521",2210
"522",2210
"523",2210
"524",2210
"525",2210
"526",2210
"527",2210
"528",2210
"529",2210
"530",2210
"531",2210
"532",2210
"533",2210
"534",2210
"535",2210
"536",2210
"537",2210
"538",2210
"539",2210
"540",2210
"541",2210
"542",2210
"543",2210
"544",2210
"545",2210
"546",2210
"547",2210
"548",2210
"549",2210
"550",2210
"551",2211
"552",2211
"553",2211
"554",2211
"555",2211
"556",2211
"557",2211
"558",2211
"559",2211
"560",2211
"561",2211
"562",2211
"563",2211
"564",2211
"565",2211
"566",2211
"567",2211
"568",2211
"569",2211
"570",2211
"571",2211
"572",2211
"573",2211
"574",2211
"575",2211
"576",2211
"577",2211
"578",2211
"579",2211
"580",2211
"581",2211
"582",2211
"583",2211
"584",2211
"585",2211
"586",2211
"587",2211
"588",2211
"589",2211
"590",2211
"591",2211
"592",2211
"593",2211
"594",2211
"595",2211
"596",2211
"597",2211
"598",2211
"599",2211
"600",2211
"601",2214
"602",2214
"603",2214
"604",2214
"605",2214
"606",2214
"607",2214
"608",2214
"609",2214
"610",2214
"611",2214
"612",2214
"613",2214
"614",2214
"615",2214
"616",2214
"617",2214
"618",2214
"619",2214
"620",2214
"621",2214
"622",2214
"623",2214
"624",2214
"625",2214
"626",2214
"627",2214
"628",2214
"629",2214
"630",2214
"631",2214
"632",2214
"633",2214
"634",2214
"635",2214
"636",2214
"637",2214
"638",2214
"639",2214
"640",2214
"641",2214
"642",2214
"643",2214
"644",2214
"645",2214
"646",2214
"647",2214
"648",2214
"649",2214
"650",2214
"651",2215
"652",2215
"653",2215
"654",2215
"655",2215
"656",2215
"657",2215
"658",2215
"659",2215
"660",2215
"661",2215
"662",2215
"663",2215
"664",2215
"665",2215
"666",2215
"667",2215
"668",2215
"669",2215
"670",2215
"671",2215
"672",2215
"673",2215
"674",2215
"675",2215
"676",2215
"677",2215
"678",2215
"679",2215
"680",2215
"681",2215
"682",2215
"683",2215
"684",2215
"685",2215
"686",2215
"687",2215
"688",2215
"689",2215
"690",2215
"691",2215
"692",2215
"693",2215
"694",2215
"695",2215
"696",2215
"697",2215
"698",2215
"699",2215
"700",2215
"701",2216
"702",2216
"703",2216
"704",2216
"705",2216
"706",2216
"707",2216
"708",2216
"709",2216
"710",2216
"711",2216
"712",2216
"713",2216
"714",2216
"715",2216
"716",2216
"717",2216
"718",2216
"719",2216
"720",2216
"721",2216
"722",2216
"723",2216
"724",2216
"725",2216
"726",2216
"727",2216
"728",2216
"729",2216
"730",2216
"731",2216
"732",2216
"733",2216
"734",2216
"735",2216
"736",2216
"737",2216
"738",2216
"739",2216
"740",2216
"741",2216
"742",2216
"743",2216
"744",2216
"745",2216
"746",2216
"747",2216
"748",2216
"749",2216
"750",2216
"751",2217
"752",2217
"753",2217
"754",2217
"755",2217
"756",2217
"757",2217
"758",2217
"759",2217
"760",2217
"761",2217
"762",2217
"763",2217
"764",2217
"765",2217
"766",2217
"767",2217
"768",2217
"769",2217
"770",2217
"771",2217
"772",2217
"773",2217
"774",2217
"775",2217
"776",2217
"777",2217
"778",2217
"779",2217
"780",2217
"781",2217
"782",2217
"783",2217
"784",2217
"785",2217
"786",2217
"787",2217
"788",2217
"789",2217
"790",2217
"791",2217
"792",2217
"793",2217
"794",2217
"795",2217
"796",2217
"797",2217
"798",2217
"799",2217
"800",2217
"801",2218
"802",2218
"803",2218
"804",2218
"805",2218
"806",2218
"807",2218
"808",2218
"809",2218
"810",2218
"811",2218
"812",2218
"813",2218
"814",2218
"815",2218
"816",2218
"817",2218
"818",2218
"819",2218
"820",2218
"821",2218
"822",2218
"823",2218
"824",2218
"825",2218
"826",2218
"827",2218
"828",2218
"829",2218
"830",2218
"831",2218
"832",2218
"833",2218
"834",2218
"835",2218
"836",2218
"837",2218
"838",2218
"839",2218
"840",2218
"841",2218
"842",2218
"843",2218
"844",2218
"845",2218
"846",2218
"847",2218
"848",2218
"849",2218
"850",2218
"851",2219
"852",2219
"853",2219
"854",2219
"855",2219
"856",2219
"857",2219
"858",2219
"859",2219
"860",2219
"861",2219
"862",2219
"863",2219
"864",2219
"865",2219
"866",2219
"867",2219
"868",2219
"869",2219
"870",2219
"871",2219
"872",2219
"873",2219
"874",2219
"875",2219
"876",2219
"877",2219
"878",2219
"879",2219
"880",2219
"881",2219
"882",2219
"883",2219
"884",2219
"885",2219
"886",2219
"887",2219
"888",2219
"889",2219
"890",2219
"891",2219
"892",2219
"893",2219
"894",2219
"895",2219
"896",2219
"897",2219
"898",2219
"899",2219
"900",2219
"901",2220
"902",2220
"903",2220
"904",2220
"905",2220
"906",2220
"907",2220
"908",2220
"909",2220
"910",2220
"911",2220
"912",2220
"913",2220
"914",2220
"915",2220
"916",2220
"917",2220
"918",2220
"919",2220
"920",2220
"921",2220
"922",2220
"923",2220
"924",2220
"925",2220
"926",2220
"927",2220
"928",2220
"929",2220
"930",2220
"931",2220
"932",2220
"933",2220
"934",2220
"935",2220
"936",2220
"937",2220
"938",2220
"939",2220
"940",2220
"941",2220
"942",2220
"943",2220
"944",2220
"945",2220
"946",2220
"947",2220
"948",2220
"949",2220
"950",2220
"951",2221
"952",2221
"953",2221
"954",2221
"955",2221
"956",2221
"957",2221
"958",2221
"959",2221
"960",2221
"961",2221
"962",2221
"963",2221
"964",2221
"965",2221
"966",2221
"967",2221
"968",2221
"969",2221
"970",2221
"971",2221
"972",2221
"973",2221
"974",2221
"975",2221
"976",2221
"977",2221
"978",2221
"979",2221
"980",2221
"981",2221
"982",2221
"983",2221
"984",2221
"985",2221
"986",2221
"987",2221
"988",2221
"989",2221
"990",2221
"991",2221
"992",2221
"993",2221
"994",2221
"995",2221
"996",2221
"997",2221
"998",2221
"999",2221
"1000",2221
"1001",2222
"1002",2222
"1003",2222
"1004",2222
"1005",2222
"1006",2222
"1007",2222
"1008",2222
"1009",2222
"1010",2222
"1011",2222
"1012",2222
"1013",2222
"1014",2222
"1015",2222
"1016",2222
"1017",2222
"1018",2222
"1019",2222
"1020",2222
"1021",2222
"1022",2222
"1023",2222
"1024",2222
"1025",2222
"1026",2222
"1027",2222
"1028",2222
"1029",2222
"1030",2222
"1031",2222
"1032",2222
"1033",2222
"1034",2222
"1035",2222
"1036",2222
"1037",2222
"1038",2222
"1039",2222
"1040",2222
"1041",2222
"1042",2222
"1043",2222
"1044",2222
"1045",2222
"1046",2222
"1047",2222
"1048",2222
"1049",2222
"1050",2222
"1051",2223
"1052",2223
"1053",2223
"1054",2223
"1055",2223
"1056",2223
"1057",2223
"1058",2223
"1059",2223
"1060",2223
"1061",2223
"1062",2223
"1063",2223
"1064",2223
"1065",2223
"1066",2223
"1067",2223
"1068",2223
"1069",2223
"1070",2223
"1071",2223
"1072",2223
"1073",2223
"1074",2223
"1075",2223
"1076",2223
"1077",2223
"1078",2223
"1079",2223
"1080",2223
"1081",2223
"1082",2223
"1083",2223
"1084",2223
"1085",2223
"1086",2223
"1087",2223
"1088",2223
"1089",2223
"1090",2223
"1091",2223
"1092",2223
"1093",2223
"1094",2223
"1095",2223
"1096",2223
"1097",2223
"1098",2223
"1099",2223
"1100",2223
"1101",2226
"1102",2226
"1103",2226
"1104",2226
"1105",2226
"1106",2226
"1107",2226
"1108",2226
"1109",2226
"1110",2226
"1111",2226
"1112",2226
"1113",2226
"1114",2226
"1115",2226
"1116",2226
"1117",2226
"1118",2226
"1119",2226
"1120",2226
"1121",2226
"1122",2226
"1123",2226
"1124",2226
"1125",2226
"1126",2226
"1127",2226
"1128",2226
"1129",2226
"1130",2226
"1131",2226
"1132",2226
"1133",2226
"1134",2226
"1135",2226
"1136",2226
"1137",2226
"1138",2226
"1139",2226
"1140",2226
"1141",2226
"1142",2226
"1143",2226
"1144",2226
"1145",2226
"1146",2226
"1147",2226
"1148",2226
"1149",2226
"1150",2226
"1151",2227
"1152",2227
"1153",2227
"1154",2227
"1155",2227
"1156",2227
"1157",2227
"1158",2227
"1159",2227
"1160",2227
"1161",2227
"1162",2227
"1163",2227
"1164",2227
"1165",2227
"1166",2227
"1167",2227
"1168",2227
"1169",2227
"1170",2227
"1171",2227
"1172",2227
"1173",2227
"1174",2227
"1175",2227
"1176",2227
"1177",2227
"1178",2227
"1179",2227
"1180",2227
"1181",2227
"1182",2227
"1183",2227
"1184",2227
"1185",2227
"1186",2227
"1187",2227
"1188",2227
"1189",2227
"1190",2227
"1191",2227
"1192",2227
"1193",2227
"1194",2227
"1195",2227
"1196",2227
"1197",2227
"1198",2227
"1199",2227
"1200",2227
"1201",2228
"1202",2228
"1203",2228
"1204",2228
"1205",2228
"1206",2228
"1207",2228
"1208",2228
"1209",2228
"1210",2228
"1211",2228
"1212",2228
"1213",2228
"1214",2228
"1215",2228
"1216",2228
"1217",2228
"1218",2228
"1219",2228
"1220",2228
"1221",2228
"1222",2228
"1223",2228
"1224",2228
"1225",2228
"1226",2228
"1227",2228
"1228",2228
"1229",2228
"1230",2228
