"","x"
"1",7598457.94377758
"2",7598524.67683871
"3",7598591.40989985
"4",7598658.14296098
"5",7598662.53812818
"6",7598347.73116038
"7",7598585.69419848
"8",7598390.86378095
"9",7598696.28002272
"10",7598674.15065501
"11",7598541.64036404
"12",7598409.13007306
"13",7598496.39613468
"14",7598740.27646493
"15",7598741.6698108
"16",7598761.00696168
"17",7598678.82322431
"18",7598781.07951014
"19",7598710.5918077
"20",7598524.67376796
"21",7598748.73923772
"22",7598787.2205893
"23",7599065.02861896
"24",7599342.83664863
"25",7599620.64467829
"26",7599898.45270796
"27",7600176.26073762
"28",7600454.06876729
"29",7600731.87679696
"30",7600809.23579712
"31",7600798.69089111
"32",7601722.26609248
"33",7602190.41700927
"34",7602181.46956617
"35",7602511.31722647
"36",7602818.95269167
"37",7602795.34863721
"38",7602844.78895992
"39",7603217.68333547
"40",7603492.7104188
"41",7603074.24613658
"42",7602655.78185435
"43",7602670.79539196
"44",7602845.19864776
"45",7604270.66420464
"46",7604352.29861271
"47",7604761.6520822
"48",7605171.0055517
"49",7605180.34824748
"50",7604281.47257747
"51",7605232.15875684
"52",7605263.95328985
"53",7605648.47953897
"54",7605581.96615575
"55",7605600.0500984
"56",7605596.77809412
"57",7605589.33276142
"58",7605581.8835555
"59",7605952.8012759
"60",7606323.7189963
"61",7606346.82206776
"62",7606459.74183502
"63",7606932.26555049
"64",7609176.82010135
"65",7609458.11661771
"66",7609739.41313407
"67",7609753.62274283
"68",7609943.84733011
"69",7613531.31224456
"70",7615853.49884681
"71",7618899.73831497
"72",7621945.97778313
"73",7621952.44642963
"74",7623740.59755526
"75",7624247.69981783
"76",7627291.81074364
"77",7630387.98295791
"78",7630411.12323978
"79",7630387.02560069
"80",7630543.15009081
"81",7630405.12714722
"82",7630453.24116051
"83",7630668.88552517
"84",7630884.52988984
"85",7630862.22687014
"86",7630453.35860868
"87",7632451.5089085
"88",7633439.91341569
"89",7634730.31470946
"90",7636020.71600323
"91",7636021.67654957
"92",7634705.87289131
"93",7634081.31706538
"94",7635118.9983597
"95",7635608.07086068
"96",7636097.14336166
"97",7636083.69037499
"98",7638065.95107385
"99",7639079.41378608
"100",7641729.73199837
"101",7642482.1058829
"102",7643234.47976742
"103",7643127.01209842
"104",7641948.50044034
"105",7641737.1450512
"106",7641861.71237254
"107",7642112.44616172
"108",7642363.1799509
"109",7642495.07978816
"110",7641265.7657287
"111",7641141.0382072
"112",7639519.91386487
"113",7638707.53019658
"114",7637895.14652828
"115",7637885.39506351
"116",7637929.01647664
"117",7637295.61536337
"118",7636410.40704171
"119",7634830.14618007
"120",7633249.88531843
"121",7633239.27505746
"122",7631301.06234934
"123",7630847.10752041
"124",7630294.59426949
"125",7630023.72769115
"126",7629752.86111281
"127",7629722.4873809
"128",7628468.98490366
"129",7628200.58369324
"130",7628270.81286232
"131",7627581.43836835
"132",7627551.38434627
"133",7627552.43782133
"134",7627117.36855355
"135",7626894.69643653
"136",7626178.638441
"137",7626299.26025151
"138",7626419.88206202
"139",7626540.50387253
"140",7626661.12568305
"141",7626781.74749356
"142",7626902.36930407
"143",7627022.99111458
"144",7627143.61292509
"145",7627890.3697554
"146",7627476.01534949
"147",7630887.96189619
"148",7633619.65352073
"149",7635382.37658753
"150",7636465.11180732
"151",7636510.67338735
"152",7637546.34085055
"153",7638155.3582074
"154",7638114.0718268
"155",7639800.12944174
"156",7641486.18705667
"157",7641503.21661001
"158",7641685.98233477
"159",7643507.75728968
"160",7642371.96043824
"161",7641839.39841261
"162",7641306.83638698
"163",7641307.08865606
"164",7636729.56365195
"165",7634052.18920364
"166",7634986.84356235
"167",7633723.79517733
"168",7632460.7467923
"169",7632421.13421484
"170",7631684.37287686
"171",7630154.0109493
"172",7628949.14350223
"173",7627916.46469932
"174",7627509.24686545
"175",7627474.08537106
"176",7627521.94207313
"177",7627100.62356828
"178",7626147.02376841
"179",7626010.77878413
"180",7625874.53379986
"181",7625876.0765698
"182",7624429.53372395
"183",7623839.69762582
"184",7623765.29365951
"185",7624483.3658386
"186",7625201.43801768
"187",7625202.57984498
"188",7625313.10319901
"189",7626288.47227913
"190",7626273.8127135
"191",7625637.64889403
"192",7625001.48507455
"193",7624987.12977224
"194",7624989.75208379
"195",7625053.07526159
"196",7624158.0914779
"197",7623832.0083105
"198",7623505.9251431
"199",7623179.8419757
"200",7622882.34480776
"201",7623786.38062963
"202",7623896.11388191
"203",7622832.11915835
"204",7621768.12443479
"205",7621802.86225901
"206",7621868.48751
"207",7622045.05254836
"208",7621854.60885045
"209",7623583.59929888
"210",7625312.58974731
"211",7625338.86402053
"212",7626559.32349899
"213",7627773.43002567
"214",7631560.53389749
"215",7634853.98307592
"216",7638147.43225434
"217",7638140.06469948
"218",7639087.52489963
"219",7641671.51686028
"220",7641621.64135345
"221",7641873.93019304
"222",7642126.21903263
"223",7642094.34775904
"224",7641282.56241009
"225",7638138.36873672
"226",7637942.24640996
"227",7637351.03600071
"228",7636759.82559146
"229",7636168.61518221
"230",7635577.40477296
"231",7635624.90003999
"232",7635582.73996441
"233",7637295.88900199
"234",7639009.03803957
"235",7639008.22655729
"236",7640487.54939102
"237",7640518.14681227
"238",7640524.50690629
"239",7640433.05478824
"240",7640341.60267018
"241",7637860.44363766
"242",7637697.60534248
"243",7637694.00837958
"244",7637460.17097605
"245",7637799.89673954
"246",7638139.62250304
"247",7636718.51016514
"248",7635285.40026763
"249",7634222.3025894
"250",7631915.82224843
"251",7629424.40412767
"252",7629446.80310817
"253",7629606.57390377
"254",7629642.5488985
"255",7629737.14582453
"256",7629682.45211
"257",7628396.92473894
"258",7627887.22803825
"259",7627050.10260666
"260",7626728.07831581
"261",7626678.66285812
"262",7626629.24740042
"263",7626271.24645435
"264",7625913.24550828
"265",7631615.12485499
"266",7632557.91534268
"267",7635535.32099342
"268",7635531.86298505
"269",7636787.45624518
"270",7638043.04950531
"271",7628758.05067448
"272",7632703.8768021
"273",7628737.58653196
"274",7628772.38787024
"275",7628098.99639734
"276",7627425.60492443
"277",7629336.57135685
"278",7629362.37907459
"279",7627956.57058263
"280",7627985.20880361
"281",7627133.69342272
"282",7626282.17804183
"283",7630089.19628269
"284",7631327.85164064
"285",7632408.59518927
"286",7632482.69916177
"287",7630009.12034485
"288",7627535.54152794
"289",7625061.96271103
"290",7624267.62848749
"291",7624274.85279793
