"","x_","y_","t_","grid_id"
"1",564628.1636,7598658.143,2005-05-24 00:18:00,98
"2",564948.3297,7598662.538,2005-05-24 04:18:00,98
"3",564003.3721,7598347.731,2005-05-24 08:18:00,72
"4",564140.4662,7598585.694,2005-05-24 12:18:00,98
"5",564421.7616,7598390.864,2005-05-24 16:18:00,72
"6",564121.4581,7598696.28,2005-05-24 20:18:00,98
"7",564148.7576,7598674.151,2005-05-25 00:18:00,98
"8",565040.1452,7598409.13,2005-05-25 08:18:00,72
"9",564965.4484,7598496.396,2005-05-25 12:18:00,72
"10",564812.3993,7598740.276,2005-05-25 16:18:00,98
"11",564835.1254,7598741.67,2005-05-25 20:18:00,98
"12",564780.3014,7598761.007,2005-05-26 00:18:00,98
"13",564737.5213,7598678.823,2005-05-26 04:18:00,98
"14",564788.6025,7598781.08,2005-05-26 08:18:00,98
"15",564768.3438,7598710.592,2005-05-26 12:18:00,98
"16",565237.1322,7598524.674,2005-05-26 16:18:00,98
"17",564798.6019,7598748.739,2005-05-26 20:18:00,98
"18",564792.1156,7598787.221,2005-05-27 00:18:00,98
"19",567842.8152,7600731.877,2005-05-28 04:18:00,126
"20",568299.2909,7600809.236,2005-05-28 08:18:00,126
"21",568303.8085,7600798.691,2005-05-28 12:18:00,126
"22",568692.227,7601722.266,2005-05-28 16:18:00,126
"23",568188.2934,7602190.417,2005-05-28 20:18:00,126
"24",568131.0239,7602181.47,2005-05-29 00:18:00,126
"25",567879.2077,7602511.317,2005-05-29 04:18:00,152
"26",567524.9439,7602818.953,2005-05-29 08:18:00,151
"27",567514.2385,7602795.349,2005-05-29 12:18:00,151
"28",567336.6715,7602844.789,2005-05-29 16:18:00,151
"29",567037.5235,7603217.683,2005-05-29 20:18:00,151
"30",567018.8397,7603492.71,2005-05-30 00:18:00,151
"31",567638.1917,7602655.782,2005-05-30 08:18:00,152
"32",567623.3572,7602670.795,2005-05-30 12:18:00,152
"33",567292.7442,7602845.199,2005-05-30 16:18:00,151
"34",565838.6002,7604270.664,2005-05-30 20:18:00,151
"35",565346.1572,7604352.299,2005-05-31 00:18:00,150
"36",564038.0128,7605171.006,2005-05-31 08:18:00,176
"37",564044.7427,7605180.348,2005-05-31 12:18:00,176
"38",564400.746,7604281.473,2005-05-31 16:18:00,150
"39",563462.3647,7605232.159,2005-05-31 20:18:00,175
"40",562972.5039,7605263.953,2005-06-01 00:18:00,175
"41",560926.2544,7605648.48,2005-06-01 04:18:00,174
"42",560880.3262,7605581.966,2005-06-01 08:18:00,174
"43",560859.7196,7605600.05,2005-06-01 12:18:00,174
"44",560894.7087,7605596.778,2005-06-01 16:18:00,174
"45",560857.589,7605589.333,2005-06-01 20:18:00,174
"46",560642.8863,7605581.884,2005-06-02 00:18:00,174
"47",560234.2517,7606323.719,2005-06-02 08:18:00,174
"48",560204.2044,7606346.822,2005-06-02 12:18:00,174
"49",560584.8016,7606459.742,2005-06-02 16:18:00,174
"50",558598.9413,7606932.266,2005-06-02 20:18:00,199
"51",556073.116,7609176.82,2005-06-03 00:18:00,224
"52",557117.1273,7609739.413,2005-06-03 08:18:00,224
"53",557143.0001,7609753.623,2005-06-03 12:18:00,224
"54",557891.1689,7609943.847,2005-06-03 16:18:00,225
"55",557176.0042,7613531.312,2005-06-03 20:18:00,276
"56",557273.4831,7615853.499,2005-06-04 00:18:00,302
"57",556698.2235,7621945.978,2005-06-04 08:18:00,380
"58",556678.8564,7621952.446,2005-06-04 12:18:00,380
"59",556660.7321,7623740.598,2005-06-04 16:18:00,406
"60",554920.1342,7624247.7,2005-06-04 20:18:00,405
"61",554917.4275,7627291.811,2005-06-05 00:18:00,457
"62",554229.6016,7630387.983,2005-06-05 04:18:00,483
"63",554467.3574,7630411.123,2005-06-05 08:18:00,483
"64",554330.3631,7630387.026,2005-06-05 12:18:00,483
"65",554462.5989,7630543.15,2005-06-05 16:18:00,509
"66",554460.5511,7630405.127,2005-06-05 20:18:00,483
"67",554474.7219,7630453.241,2005-06-06 00:18:00,483
"68",555263.941,7630884.53,2005-06-06 08:18:00,509
"69",555230.4482,7630862.227,2005-06-06 12:18:00,509
"70",555895.9907,7630453.359,2005-06-06 16:18:00,484
"71",556209.4422,7632451.509,2005-06-06 20:18:00,510
"72",555494.6478,7633439.913,2005-06-07 00:18:00,535
