t,x,y,datetime
3,564628.1636,7598658.143,2005-05-24 0:18
4,564948.3297,7598662.538,2005-05-24 4:18
5,564003.3721,7598347.731,2005-05-24 8:18
6,564140.4662,7598585.694,2005-05-24 12:18
7,564421.7616,7598390.864,2005-05-24 16:18
8,564121.4581,7598696.28,2005-05-24 20:18
9,564148.7576,7598674.151,2005-05-25 0:18
11,565040.1452,7598409.13,2005-05-25 8:18
12,564965.4484,7598496.396,2005-05-25 12:18
13,564812.3993,7598740.276,2005-05-25 16:18
14,564835.1254,7598741.67,2005-05-25 20:18
15,564780.3014,7598761.007,2005-05-26 0:18
16,564737.5213,7598678.823,2005-05-26 4:18
17,564788.6025,7598781.08,2005-05-26 8:18
18,564768.3438,7598710.592,2005-05-26 12:18
19,565237.1322,7598524.674,2005-05-26 16:18
20,564798.6019,7598748.739,2005-05-26 20:18
21,564792.1156,7598787.221,2005-05-27 0:18
28,567842.8152,7600731.877,2005-05-28 4:18
29,568299.2909,7600809.236,2005-05-28 8:18
30,568303.8085,7600798.691,2005-05-28 12:18
31,568692.227,7601722.266,2005-05-28 16:18
32,568188.2934,7602190.417,2005-05-28 20:18
33,568131.0239,7602181.47,2005-05-29 0:18
34,567879.2077,7602511.317,2005-05-29 4:18
35,567524.9439,7602818.953,2005-05-29 8:18
36,567514.2385,7602795.349,2005-05-29 12:18
37,567336.6715,7602844.789,2005-05-29 16:18
38,567037.5235,7603217.683,2005-05-29 20:18
39,567018.8397,7603492.71,2005-05-30 0:18
41,567638.1917,7602655.782,2005-05-30 8:18
42,567623.3572,7602670.795,2005-05-30 12:18
43,567292.7442,7602845.199,2005-05-30 16:18
44,565838.6002,7604270.664,2005-05-30 20:18
45,565346.1572,7604352.299,2005-05-31 0:18
47,564038.0128,7605171.006,2005-05-31 8:18
48,564044.7427,7605180.348,2005-05-31 12:18
49,564400.746,7604281.473,2005-05-31 16:18
50,563462.3647,7605232.159,2005-05-31 20:18
51,562972.5039,7605263.953,2005-06-01 0:18
52,560926.2544,7605648.48,2005-06-01 4:18
53,560880.3262,7605581.966,2005-06-01 8:18
54,560859.7196,7605600.05,2005-06-01 12:18
55,560894.7087,7605596.778,2005-06-01 16:18
56,560857.589,7605589.333,2005-06-01 20:18
57,560642.8863,7605581.884,2005-06-02 0:18
59,560234.2517,7606323.719,2005-06-02 8:18
60,560204.2044,7606346.822,2005-06-02 12:18
61,560584.8016,7606459.742,2005-06-02 16:18
62,558598.9413,7606932.266,2005-06-02 20:18
63,556073.116,7609176.82,2005-06-03 0:18
65,557117.1273,7609739.413,2005-06-03 8:18
66,557143.0001,7609753.623,2005-06-03 12:18
67,557891.1689,7609943.847,2005-06-03 16:18
68,557176.0042,7613531.312,2005-06-03 20:18
69,557273.4831,7615853.499,2005-06-04 0:18
71,556698.2235,7621945.978,2005-06-04 8:18
72,556678.8564,7621952.446,2005-06-04 12:18
73,556660.7321,7623740.598,2005-06-04 16:18
74,554920.1342,7624247.7,2005-06-04 20:18
75,554917.4275,7627291.811,2005-06-05 0:18
76,554229.6016,7630387.983,2005-06-05 4:18
77,554467.3574,7630411.123,2005-06-05 8:18
78,554330.3631,7630387.026,2005-06-05 12:18
79,554462.5989,7630543.15,2005-06-05 16:18
80,554460.5511,7630405.127,2005-06-05 20:18
81,554474.7219,7630453.241,2005-06-06 0:18
83,555263.941,7630884.53,2005-06-06 8:18
84,555230.4482,7630862.227,2005-06-06 12:18
85,555895.9907,7630453.359,2005-06-06 16:18
86,556209.4422,7632451.509,2005-06-06 20:18
87,555494.6478,7633439.913,2005-06-07 0:18
89,552047.0496,7636020.716,2005-06-07 8:18
90,552072.016,7636021.677,2005-06-07 12:18
91,551285.1945,7634705.873,2005-06-07 16:18
92,548831.1054,7634081.317,2005-06-07 20:18
93,548306.5266,7635118.998,2005-06-08 0:18
95,550584.3802,7636097.143,2005-06-08 8:18
96,550579.8225,7636083.69,2005-06-08 12:18
97,551610.5796,7638065.951,2005-06-08 16:18
98,551911.252,7639079.414,2005-06-08 20:18
99,552473.6482,7641729.732,2005-06-09 0:18
101,553334.8148,7643234.48,2005-06-09 8:18
102,553210.0163,7643127.012,2005-06-09 12:18
103,553641.9555,7641948.5,2005-06-09 16:18
104,553962.5541,7641737.145,2005-06-09 20:18
105,555782.2301,7641861.712,2005-06-10 0:18
107,551679.8769,7642363.18,2005-06-10 8:18
108,551649.4341,7642495.08,2005-06-10 12:18
109,551509.0891,7641265.766,2005-06-10 16:18
110,551538.2356,7641141.038,2005-06-10 20:18
111,551896.8113,7639519.914,2005-06-11 0:18
113,553234.2907,7637895.147,2005-06-11 8:18
114,553332.9737,7637885.395,2005-06-11 12:18
115,555343.2807,7637929.016,2005-06-11 16:18
116,557019.0868,7637295.615,2005-06-11 20:18
117,557123.7884,7636410.407,2005-06-12 0:18
119,558637.0322,7633249.885,2005-06-12 8:18
120,558633.1717,7633239.275,2005-06-12 12:18
121,557994.9728,7631301.062,2005-06-12 16:18
122,559309.7911,7630847.108,2005-06-12 20:18
123,561050.3374,7630294.594,2005-06-13 0:18
125,562601.1834,7629752.861,2005-06-13 8:18
126,562589.7668,7629722.487,2005-06-13 12:18
127,563173.8384,7628468.985,2005-06-13 16:18
128,563808.9635,7628200.584,2005-06-13 20:18
129,563819.067,7628270.813,2005-06-14 0:18
130,563966.0044,7627581.438,2005-06-14 4:18
131,563996.6059,7627551.384,2005-06-14 8:18
132,563962.5698,7627552.438,2005-06-14 12:18
133,564019.8698,7627117.369,2005-06-14 16:18
134,563382.7513,7626894.696,2005-06-14 20:18
135,563243.6782,7626178.638,2005-06-15 0:18
143,555279.8792,7627143.613,2005-06-16 8:18
144,554828.7385,7627890.37,2005-06-16 12:18
145,554713.2401,7627476.015,2005-06-16 16:18
146,553908.278,7630887.962,2005-06-16 20:18
147,552751.6915,7633619.654,2005-06-17 0:18
148,551333.6963,7635382.377,2005-06-17 4:18
149,551130.4487,7636465.112,2005-06-17 8:18
150,551143.7905,7636510.673,2005-06-17 12:18
151,551167.866,7637546.341,2005-06-17 16:18
152,551339.6901,7638155.358,2005-06-17 20:18
153,551320.4528,7638114.072,2005-06-18 0:18
155,553827.3743,7641486.187,2005-06-18 8:18
