"","x"
"1",564338.588767579
"2",564435.113704273
"3",564531.638640967
"4",564628.163577661
"5",564948.329725746
"6",564003.372068148
"7",564140.46615579
"8",564421.761557044
"9",564121.45813087
"10",564148.75762135
"11",564594.451390283
"12",565040.145159216
"13",564965.448386983
"14",564812.399266899
"15",564835.125403681
"16",564780.301374104
"17",564737.52134311
"18",564788.60254676
"19",564768.343808552
"20",565237.132161137
"21",564798.601913074
"22",564792.115635748
"23",565227.929855242
"24",565663.744074736
"25",566099.558294229
"26",566535.372513723
"27",566971.186733217
"28",567407.000952711
"29",567842.815172205
"30",568299.290891001
"31",568303.80850931
"32",568692.227012334
"33",568188.293424102
"34",568131.023900388
"35",567879.207739057
"36",567524.943883476
"37",567514.238471245
"38",567336.671483139
"39",567037.523527554
"40",567018.839693372
"41",567328.515714258
"42",567638.191735145
"43",567623.357165361
"44",567292.74421684
"45",565838.600201639
"46",565346.157176204
"47",564692.084981258
"48",564038.012786311
"49",564044.742666697
"50",564400.745984984
"51",563462.364687418
"52",562972.503913995
"53",560926.254413243
"54",560880.326242717
"55",560859.719621306
"56",560894.708726636
"57",560857.588954384
"58",560642.886268574
"59",560438.568969514
"60",560234.251670455
"61",560204.204403779
"62",560584.801554435
"63",558598.941301147
"64",556073.116006414
"65",556595.12167257
"66",557117.127338727
"67",557143.000128786
"68",557891.168858041
"69",557176.004151734
"70",557273.483066667
"71",556985.853287424
"72",556698.223508182
"73",556678.856412147
"74",556660.732108597
"75",554920.134218055
"76",554917.427504761
"77",554229.601601191
"78",554467.357418508
"79",554330.363110144
"80",554462.598937058
"81",554460.551061386
"82",554474.721887016
"83",554869.331465712
"84",555263.941044408
"85",555230.448194703
"86",555895.990684207
"87",556209.442195303
"88",555494.647776862
"89",553770.848706844
"90",552047.049636826
"91",552072.015988288
"92",551285.194484138
"93",548831.105357609
"94",548306.526629999
"95",549445.45340738
"96",550584.380184761
"97",550579.822522824
"98",551610.579559147
"99",551911.251984551
"100",552473.64824123
"101",552904.231544312
"102",553334.814847393
"103",553210.016330354
"104",553641.955489605
"105",553962.554114587
"106",555782.230123562
"107",553731.053493333
"108",551679.876863104
"109",551649.434147788
"110",551509.089116828
"111",551538.235566054
"112",551896.811344786
"113",552565.551025199
"114",553234.290705613
"115",553332.973744063
"116",555343.280733139
"117",557019.086756043
"118",557123.788396117
"119",557880.410286696
"120",558637.032177276
"121",558633.171700682
"122",557994.97279122
"123",559309.791067223
"124",561050.337379265
"125",561825.760413394
"126",562601.183447523
"127",562589.766753373
"128",563173.83843207
"129",563808.96352993
"130",563819.067034623
"131",563966.00435006
"132",563996.605852285
"133",563962.569807082
"134",564019.86977283
"135",563382.751250801
"136",563243.678168099
"137",562248.2033009
"138",561252.7284337
"139",560257.2535665
"140",559261.7786993
"141",558266.3038321
"142",557270.828964901
