"","x"
"1",559384.855697539
"2",558660.137735342
"3",558781.311680727
"4",564036.717149896
"5",558891.963195296
"6",557010.165216481
"7",562046.367557764
"8",558759.042280251
"9",558655.298853672
"10",559877.808310789
"11",559735.55706352
"12",557003.737818079
"13",559468.921608712
"14",559249.117949916
"15",558069.230221603
"16",560167.820752589
"17",560340.469047801
"18",557379.296129517
"19",558442.356894941
"20",557584.919215736
"21",558423.734715941
"22",558258.007113744
"23",560900.222574094
"24",557800.156152365
"25",563166.257836996
"26",561216.313467253
"27",561705.615206227
"28",556942.372599416
"29",560123.449902268
"30",559729.557641409
"31",559669.727972872
"32",558681.132445186
"33",558766.515753167
"34",558927.345661576
"35",557946.454990651
"36",558719.111511538
"37",558220.001897502
"38",558155.884885569
"39",558723.571426703
"40",558668.914640635
"41",555618.613169479
"42",558904.240637847
"43",558471.467369348
"44",560640.503783316
"45",561131.996044618
"46",563143.283105492
"47",559294.561762232
"48",558811.463931137
"49",558929.138894787
"50",558737.426040614
"51",559571.504975325
"52",560102.211486751
"53",559675.552046533
"54",558974.552218024
"55",557286.565490868
"56",561800.365949278
"57",559135.103582298
"58",560807.415797146
"59",559266.735424145
"60",559050.791356104
"61",559754.281119018
"62",559533.297989545
"63",559232.450035735
"64",558916.797059122
"65",560725.416570588
"66",559742.386036792
"67",556957.443285365
"68",560440.285501495
"69",559786.497588917
"70",559446.692529055
"71",555672.236575545
"72",559360.983093885
"73",561439.492804183
"74",559484.88974194
"75",559380.117198019
"76",560754.596232739
"77",558590.559794474
"78",559002.920095321
"79",559312.699404101
"80",559309.25004044
"81",554208.306031441
"82",559460.079605714
"83",556732.687931591
"84",559684.509026837
"85",559305.154356867
"86",558768.876091222
"87",557947.85960597
"88",559699.822258354
"89",562418.017962353
"90",559363.21417328
"91",559386.977862155
"92",558732.187483712
"93",556765.610956935
"94",559378.587730254
"95",559911.468972382
"96",560629.883501358
"97",559187.233688617
"98",560167.092743806
"99",560033.193952058
"100",559469.663051618
"101",560831.308420458
"102",559751.084102575
"103",559049.927024183
"104",559213.087797338
"105",561207.905437628
"106",559851.925221721
"107",559714.923157956
"108",559461.570521502
"109",561101.62868481
"110",558963.111876444
"111",559626.639394054
"112",560282.217846498
"113",561054.070760644
"114",559329.151825035
"115",556637.946020986
"116",561213.706573516
"117",560736.233186653
"118",560056.658335808
"119",561724.044111412
"120",560485.151163467
"121",560107.157101381
"122",560080.81792026
"123",560581.116639812
"124",561461.591006465
"125",559474.348969266
"126",559494.321048042
"127",559634.162975097
"128",559576.831711211
"129",559408.804244205
"130",559045.640294956
"131",559179.674217958
"132",562158.008643661
"133",557822.398374983
"134",558400.609177413
"135",557517.040501407
"136",560162.817277997
"137",559497.329990533
"138",560072.300122081
"139",559365.623261724
"140",559769.123011967
"141",559365.264102928
"142",560110.119360875
"143",561888.646431442
"144",558394.010230709
"145",563884.470966991
"146",559430.212017901
"147",559178.816383044
"148",560266.592643175
"149",559706.408576774
"150",557873.827271871
"151",560398.624998661
"152",560548.744339337
"153",560692.871275528
"154",560613.443212587
"155",560072.492960377
"156",561528.754892049
"157",561192.730388806
"158",560390.240578658
"159",557258.521663075
"160",560660.462712504
"161",560391.44899886
"162",560074.302948498
"163",559876.59236854
"164",559410.642206952
"165",561107.177682017
"166",561752.445329833
"167",560750.128299773
"168",560912.832858784
"169",561207.317249681
"170",560950.245307622
"171",563195.607800816
"172",563933.267153588
"173",561212.290857964
"174",561466.199928794
"175",561786.034656808
"176",560663.088244996
"177",563830.51874149
"178",561267.781326717
"179",562031.220345685
"180",560661.490393322
"181",562243.747282567
"182",565036.928032884
"183",560767.637600133
"184",560489.772726173
"185",560552.89143087
"186",564585.027025592
"187",563204.505499771
"188",560254.035199132
"189",561040.949887724
"190",560894.057984485
"191",560758.231170281
"192",561249.005118816
"193",559026.043796308
"194",562586.193727597
"195",561306.314380737
"196",560631.735669494
"197",560685.751058928
"198",559358.359093341
"199",561905.252027491
"200",560565.141386572
"201",561908.741687584
"202",560732.849063514
"203",565582.74433839
"204",562059.547988371
"205",562247.313280435
"206",561303.116096895
"207",561793.783496025
"208",563125.837956384
"209",562637.215541801
"210",562754.166310056
"211",563403.693777632
"212",562478.862832406
"213",560454.97571921
"214",561417.144973541
"215",561671.208378884
"216",561825.254055477
"217",562590.36172772
"218",563197.06814085
"219",561539.52225254
