"","x"
"1",7624398.4687519
"2",7625262.4892106
"3",7625293.53167734
"4",7625026.40979606
"5",7625179.05930586
"6",7624611.18906609
"7",7625051.55798105
"8",7624305.04520213
"9",7625107.19031933
"10",7626145.1960772
"11",7624966.75211854
"12",7624934.98029585
"13",7622927.92809003
"14",7625127.25402919
"15",7625077.92632779
"16",7625848.7348063
"17",7625969.96294893
"18",7628994.83265404
"19",7626077.94801027
"20",7626811.32161035
"21",7625261.5027624
"22",7624084.80573678
"23",7624949.61430015
"24",7628910.10277351
"25",7626343.28101252
"26",7626192.86828957
"27",7622616.03381851
"28",7625159.538008
"29",7623678.65229007
"30",7625570.95589427
"31",7624818.31160414
"32",7625019.32514516
"33",7625521.67055001
"34",7625083.90685881
"35",7623655.93244742
"36",7625285.00628056
"37",7624511.90839227
"38",7624117.96738154
"39",7625142.23661324
"40",7625380.50561921
"41",7626530.21004181
"42",7625042.28010847
"43",7625848.5285683
"44",7625916.86053871
"45",7622708.71317859
"46",7624289.37002014
"47",7625997.83530192
"48",7625416.89549104
"49",7625326.91105466
"50",7625269.57081291
"51",7626834.78150116
"52",7626155.78000467
"53",7626314.74966169
"54",7627924.58590665
"55",7628397.64132026
"56",7626566.37840631
"57",7628643.64252638
"58",7628075.25771387
"59",7626301.31599704
"60",7629283.04614369
"61",7627152.2219305
"62",7626236.00095515
"63",7627265.94794786
"64",7627045.69854736
"65",7624134.34061908
"66",7626294.46288643
"67",7627565.32158327
"68",7628019.99626208
"69",7626394.54198333
"70",7628196.8360015
"71",7626429.40930685
"72",7626364.29740582
"73",7624268.9716276
"74",7628229.48010407
"75",7626451.15623769
"76",7626740.26056863
"77",7626566.20804039
"78",7626499.12834838
"79",7626251.48230375
"80",7625913.36507787
"81",7626005.28574223
"82",7626282.86691582
"83",7622505.06698362
"84",7626141.03321052
"85",7626085.81566265
"86",7626022.32520375
"87",7626815.73850393
"88",7626790.30392415
"89",7625565.11529308
"90",7626107.24251548
"91",7626286.94639883
"92",7626496.13375517
"93",7628009.73990736
"94",7626839.59640772
"95",7626119.84398986
"96",7626597.63916192
"97",7625201.91151319
"98",7625530.33718803
"99",7626614.09986887
"100",7626586.92582721
"101",7624960.15857138
"102",7626552.50411546
"103",7626295.46584252
"104",7626723.05512444
"105",7625536.35267334
"106",7626934.76080038
"107",7626056.9000392
"108",7626504.42211049
"109",7626062.91957449
"110",7626023.78906659
"111",7626199.00622035
"112",7625428.45422669
"113",7626861.65692604
"114",7626613.61907606
"115",7630313.77898639
"116",7627815.50231886
"117",7624523.49415996
"118",7627350.14501102
"119",7628173.07024998
"120",7625993.07891257
"121",7626494.61462923
"122",7628479.10688392
"123",7628085.07695008
"124",7626150.99627231
"125",7628243.88221317
"126",7627406.50406437
"127",7628384.82030575
"128",7626577.29889019
"129",7626666.81245877
"130",7627088.53435179
"131",7626427.37596568
"132",7627614.84107387
"133",7625681.66142142
"134",7627794.27479594
"135",7624246.80619966
"136",7625920.09883426
"137",7626520.42750707
"138",7626984.43942175
"139",7626495.56832353
"140",7626397.14531184
"141",7626585.95119574
"142",7626532.93085685
"143",7624240.46422416
"144",7625681.53719733
"145",7627365.84080944
"146",7626849.11428889
"147",7626482.45104662
"148",7627108.10747828
"149",7627281.19474951
"150",7625482.94354807
"151",7629185.64398371
"152",7628840.88806507
"153",7628505.97472213
"154",7628776.48818679
"155",7630969.40869897
"156",7629629.24307359
"157",7628818.40177153
"158",7629485.4238735
"159",7626822.70794393
"160",7628685.30700828
"161",7628112.99308685
"162",7627266.96683359
"163",7628449.11461862
"164",7629997.08855325
"165",7628968.39647601
"166",7629810.97378046
"167",7628717.66992266
"168",7628516.50274854
"169",7629865.81563292
"170",7628475.55407798
"171",7627583.24583538
"172",7627825.12235436
"173",7629634.91714174
"174",7627878.75341285
"175",7628990.20370861
"176",7628690.89118036
"177",7628049.64914548
"178",7630500.89166133
"179",7630331.50899336
"180",7628650.46362554
"181",7628490.95749382
"182",7625847.3790215
"183",7629044.80627015
"184",7628907.5368657
"185",7628168.16527487
"186",7625979.09381515
"187",7627753.4835192
"188",7629291.96054063
"189",7627486.26939483
"190",7629063.05053334
"191",7628773.35378683
"192",7628980.10064599
"193",7629926.08563676
"194",7627728.00622907
"195",7629103.53237624
"196",7629805.8003249
"197",7628700.50661968
"198",7627710.18038983
"199",7628626.08974376
"200",7629067.54560662
"201",7628105.49477598
"202",7630530.87593495
"203",7630646.29877801
"204",7628050.27334762
"205",7627771.47692523
"206",7627999.01279686
"207",7627699.52952291
"208",7629362.59797728
"209",7627896.80893292
"210",7627914.25987498
"211",7625054.2591446
"212",7629087.4244515
"213",7629903.23063553
"214",7628539.52684817
"215",7628414.3665871
"216",7628348.50051943
"217",7626344.18615305
"218",7628251.1480674
"219",7628149.87828746
"220",7628920.03045062
"221",7624927.44889555
"222",7628056.87994153
"223",7628047.91774049
"224",7627844.00262693
"225",7633937.84584187
"226",7627771.40003063
"227",7625496.12543222
"228",7627274.90320603
"229",7625229.30129276
"230",7629000.85643676
"231",7625895.21913362
"232",7627207.86373108
"233",7628062.67230265
"234",7627900.73150635
"235",7628554.99326853
"236",7628035.33666276
"237",7628729.84288108
"238",7628381.23452995
"239",7628188.16077086
"240",7627628.25021977
"241",7628291.91167078
"242",7627307.54203509
"243",7628920.11954392
"244",7627900.96800117
"245",7627608.79157745
"246",7628068.83580037
"247",7625591.62473711
"248",7628761.96586176
"249",7628504.30717599
"250",7628041.42210566
"251",7623384.36847157
"252",7624932.07359554
"253",7624537.55902682
"254",7626417.60210815
"255",7626441.07519828
"256",7623922.55200808
"257",7623872.47662163
"258",7623419.50448287
"259",7622699.27217209
"260",7624161.20331249
"261",7624212.13826228
"262",7624577.04588318
"263",7625292.56785443
"264",7624620.43308308
"265",7624325.2002221
"266",7624283.49852171
"267",7624342.5485195
"268",7622829.47414067
"269",7622176.55021053
"270",7623252.97374765
"271",7622084.16633367
"272",7624235.6056487
"273",7624710.24369462
"274",7624851.53442335
"275",7624089.46410641
"276",7624459.65736826
"277",7626871.05962208
"278",7623779.23149736
"279",7624299.34222244
"280",7624439.672939
"281",7622828.67738653
"282",7623656.53435895
"283",7623738.4592067
"284",7624097.1651818
"285",7624463.4245035
"286",7624400.92952381
"287",7624888.50478156
"288",7624140.81039482
"289",7625263.35834699
"290",7624019.80904641
"291",7623482.57547241
"292",7624405.30528545
"293",7623895.80238528
"294",7625214.15085385
"295",7624523.48963442
"296",7623753.99147807
"297",7627383.70790102
"298",7624273.78567395
"299",7623945.49861486
"300",7624734.63092734
"301",7617294.7499568
"302",7621054.97596409
"303",7622279.28281351
"304",7620906.69273636
"305",7621865.79748163
"306",7622212.51493716
"307",7622933.39051142
"308",7621935.01779385
"309",7621590.38665482
"310",7621616.5050999
"311",7621909.33534394
"312",7622229.99083675
"313",7620857.39223192
"314",7622415.90182985
"315",7621408.39198403
"316",7623041.19360487
"317",7622333.14557399
"318",7621074.76393048
"319",7619794.4691462
"320",7624744.08228603
"321",7622158.34847543
"322",7624313.99073828
"323",7621712.54665114
"324",7622335.07007504
"325",7623024.32903599
"326",7621791.73797137
"327",7620887.44173031
"328",7620891.68740596
"329",7622371.2273559
"330",7622007.69647464
"331",7620139.01793915
"332",7621886.17356566
"333",7621660.69584339
"334",7622220.77584016
"335",7621953.02088243
"336",7621843.36975876
"337",7624052.00986343
"338",7619834.71636041
"339",7620620.97952614
"340",7622240.11231893
"341",7619648.15131896
"342",7623511.88047214
"343",7617784.42675504
"344",7618751.0067255
"345",7622765.32012932
"346",7624111.8151748
"347",7623768.51694176
"348",7621065.0450478
"349",7618908.76248303
"350",7621736.38785524
"351",7623052.37005956
"352",7622236.17312087
"353",7622067.93444602
"354",7620530.04921827
"355",7622671.35867127
"356",7622399.74282167
"357",7623226.68110561
"358",7624823.92343918
"359",7622663.74797715
"360",7622450.0877092
"361",7622346.50612179
"362",7622662.3987469
"363",7622432.58023297
"364",7622977.92428117
"365",7622339.13396625
"366",7622091.50369694
"367",7622302.72713074
"368",7621263.36367948
"369",7623217.44765615
"370",7624983.87381202
"371",7623154.27149449
"372",7623040.68561356
"373",7623224.50374661
"374",7622204.25547488
"375",7621434.55082779
"376",7622666.47629761
"377",7622920.40048042
"378",7622328.4563661
"379",7621630.35724533
"380",7623196.32829539
"381",7623305.65179183
"382",7622132.63700886
"383",7623200.14593803
"384",7622764.82128261
"385",7622275.97325822
"386",7622132.37892499
"387",7623714.39606239
"388",7621518.16207399
"389",7623603.49284545
"390",7621341.63380526
"391",7622438.27289145
"392",7622159.97053974
"393",7623716.66615179
"394",7622859.96765278
"395",7622404.47850935
"396",7618259.93564563
"397",7618541.92174442
"398",7622801.75472731
"399",7622976.6222626
"400",7629045.04502219
"401",7614240.45506847
"402",7616042.91294522
"403",7608978.17127138
"404",7613345.00174177
"405",7613686.08435824
"406",7613944.22352569
"407",7612960.53065612
"408",7608192.53734898
"409",7613885.14975184
"410",7612889.57242942
"411",7614333.36240637
"412",7613203.08513185
"413",7613521.64229901
"414",7612132.10776641
"415",7612823.995041
"416",7612217.72108986
"417",7616086.13256931
"418",7611963.41185537
"419",7613876.73522467
"420",7614049.33447388
"421",7613663.89782233
"422",7613081.68654636
"423",7613267.40329904
"424",7613331.22881129
"425",7613210.19420047
"426",7613879.10797634
"427",7613867.45037174
"428",7612732.10739839
"429",7613913.3062394
"430",7615137.27220421
"431",7613668.15720995
"432",7613131.09839107
"433",7611009.04891867
"434",7613495.91111197
"435",7613606.64345561
"436",7614216.62745611
"437",7611896.33581588
"438",7613491.30210258
"439",7613420.78677992
"440",7613480.26869568
"441",7614339.51139725
"442",7613762.86738394
"443",7613683.96094762
"444",7612898.77813259
"445",7613660.96970937
"446",7614007.11103545
"447",7613802.14282351
"448",7612501.99141598
"449",7613570.87924019
"450",7614132.92085188
"451",7612739.67395859
"452",7615795.36158093
"453",7615590.65616157
"454",7614226.77175622
"455",7611564.27440091
"456",7612259.90845496
"457",7614971.0122973
"458",7615791.96590975
"459",7613003.40301552
"460",7612727.24842667
"461",7611685.28928743
"462",7613429.37615297
"463",7615309.05771674
"464",7614582.99389927
"465",7614770.8148773
"466",7614032.62039502
"467",7613772.14453874
"468",7613727.65654715
"469",7612644.77052111
"470",7612351.99862828
"471",7615181.35975617
"472",7613844.00240941
"473",7614744.33295863
"474",7613814.06930576
"475",7613968.49571205
"476",7614054.48520814
"477",7611418.2507525
"478",7611874.12152226
"479",7612975.8712462
"480",7613959.50943462
"481",7612150.96048863
"482",7613885.66317047
"483",7613973.29653096
"484",7614589.75239753
"485",7613736.00616574
"486",7613760.20723534
"487",7614071.01449889
"488",7613296.4689315
"489",7612836.85439789
"490",7613776.94385253
"491",7614757.23379906
"492",7613828.70498478
"493",7614437.16530024
"494",7613566.20226615
"495",7613713.69672741
"496",7613808.35368521
"497",7613949.76608247
"498",7613845.71401044
"499",7613545.49374872
"500",7614907.91644089
"501",7607602.78078293
"502",7607246.98407205
"503",7607337.37723171
"504",7606985.57575902
"505",7607138.43831965
"506",7607849.99710088
"507",7606517.735565
"508",7607497.58673035
"509",7606151.11872616
"510",7609233.23818319
"511",7607293.8735744
"512",7607478.61931411
"513",7609457.98376632
"514",7607642.13718619
"515",7607524.92831331
"516",7606882.28532855
"517",7607375.74686853
"518",7607224.15196209
"519",7607300.14036551
"520",7607211.90621916
"521",7609907.75893844
"522",7606971.88732281
"523",7609446.61574412
"524",7608298.18238368
"525",7606889.49735196
"526",7607497.55705502
"527",7608283.28480362
"528",7606873.83124857
"529",7606609.41311301
"530",7605864.95001909
"531",7607013.83939181
"532",7608862.66423851
"533",7610030.40316133
"534",7606749.03351908
"535",7608006.82416273
"536",7606756.93507397
"537",7607557.77640493
"538",7607925.63099333
"539",7607913.78141396
"540",7608013.97705497
"541",7605841.83716105
"542",7607319.15263385
"543",7607444.86547606
"544",7604934.68109343
"545",7607826.34738477
"546",7607937.60338223
"547",7607504.83342536
"548",7606543.58048487
"549",7608462.97331562
"550",7607447.90086756
"551",7607258.4251927
"552",7606548.15891229
"553",7607458.18155672
"554",7607869.89467487
"555",7606620.68792925
"556",7607328.18801228
"557",7606222.89166851
"558",7610906.82166729
"559",7607669.8117867
"560",7609343.84673015
"561",7606516.03186257
"562",7608241.36051886
"563",7606224.18293876
"564",7608299.81945262
"565",7605565.61691421
